,reviews
74,"This Kickstarter-funded blend is a very savvy and seamless mix of 40% malt and 60% grain whiskies. Pale gold in color, the nose is inviting, with dried apricot, honey, tangerine, and salt. Everything from the nose comes together on the palate, which is soft and sweet with the right amount of oak and smoke to balance everything out. There's a dash of heat and a solid finish. Who'd ever expect such a smart and affable whisky to come from Kickstarter? (U.S. only)"
75,"Created by blender George Harper, who worked on White Walker, this has nutty toffee, coffee grounds, caramelized sugars, roasted hazelnut in chocolate, an appreciable grain note, plus the titular gentle sweet peat smoke. Toasted oak, chocolate praline, sweet runny caramel, coffee, and a catch of smoke dissipate to leave the smooth flavor of creamy toffee penny candy. An uncut diamond with great potential set against the brilliance of Black Label. £30"
76,"A beautifully balanced blend of fudge, vanilla, strawberry bubble gum, warm orange, and cinnamon, with ozone and peat smoke. Soft, slightly bitter fruits melt into a creamy silky concoction of Horlicks, white chocolate, and vanilla, with chewy toffee sweetness. The smoking embers of peat catch on the finish with a little menthol and peppermint. Robust enough for beach parties and weddings, not just polo matches. (Global Travel Retail)"
77,"Toasty granola, rye crackers, barley sugar sweetness, and Murray Mints make for a balanced nose on this top-of-the-range blend representing the art deco elegance of 1920s Shanghai. A gloriously thick texture of rich citrus blossoms bolstered by toffee, lime, pineapple, tropical fruits, and vanilla sugar. Mr. Kinsman has engineered methodical and well-paced complexity here, with emergent little lights of spiciness. A long-lasting, deep orange buzz and dimming spice round off proceedings. A precious joy indeed. £115 Travel Retail exclusive"
78,"If Willy Wonka was ever inclined to condense a knickerbocker glory into a dram, it would nose and taste like this: caramel toffee, hints of cocoa, peeled banana, chewy marshmallows, cream, and gooey fudge sauce. The palate has banana, slightly burnt caramel, poached pear, and Banoffee pie layered over mixed peel flavors, adding to its delicious appeal. It’s sweet, dry, smooth, and comforting, like that final satisfying mouthful drained from a mug of hot chocolate. Comfort food for thirsty people."
79,"Amber gold color. Aromas of delicate fruit, coconut, vanilla and toffee, with delicate background oak notes. The flavor delivers what the aroma promises. It is nicely balanced, with a lingering dryish finish. 
"
80,"Not exactly a new whisky for the Jubilee, just a new pack, but it’s a good enough excuse to have a look at this top-end blend. Great maturity with masses of orchard fruits and a hint of passion fruit as well. The oak is rounded and supple while with water a banana note is released. Thick and chewy, with more grip than suggested on the nose and a little nut on the finish. Great blending. "
81,"The palo cortado finish is restrained, with notes of pale sherry, crisp green apple, honeycomb, cocoa, cooked plum, tangy citrus, and tobacco smoke, yet the palate has a generous, mouth-drawing fruitiness. Lemon meringue pie, tangerine zest, lime, and pineapple form the whisky’s substance, which is augmented by a time-delayed progression through caramel, ground almond, espresso, and chocolate brownie. Smoke hangs like a specter at the feast."
82,"An incredible surround-sound sensation of heavy peat smoke, with toffee, blackened spices, salted caramel, and warm leather. The journey is impressive, from the sweet toffee torn asunder by huge gusts of pepper, the tangy strands of citrus and banoffee pie with baked banana, the apples baked in brown sugar, before a final return to the smoke. A sweet and spicy finish, though the flavors recede fairly rapidly."
83,"Dried heather, peppercorn, salt crystals, green fruits, dried fennel, aniseed, dry leaves, and floral top notes produce a lip-smacking bouquet like a chilled manzanilla. The palate has vanilla tablet sweetness like the previous Delilah’s release, though this is bottled at higher strength, with flavors of dried fruits: peach, apricot, and mandarin. (8,520 bottles)"
84,"A special bottling in recognition of Chicago's outstanding alternative rock venue Delilah's, and like that venue this is full of character, color, grit, and determination. It's sweet but never cloying, soft and honeyed but gutsy, and there are peppermint, licorice, and fresh hay notes in the mix, too. It's spent time in bourbon wood and that shows. A departure for Compass Box, but a healthy one."
85,"The youngest in an excellent new range that combines small-batch blending by Doug McIvor with dramatic monochrome Scottish landscape photography by Lindsay Robertson, each image a visual metaphor for the whisky. Toffee, cherry, rich fruit, walnut, marmalade, vanilla essence, ripe banana, seasoned oak, and aromatic whole spices. The palate is charming and indulgent with rich fruitcake, banoffee pie, a good dose of spice, and a silky finish. £89
"
86,"So how brave can you be? Would you take one of the world's most iconic blends and risk messing with it? If you've got a whisky maker as good as Jim Beveridge, then why not? This picks up from the regular JW Black and its signature Caol Ila smoke and peat heart and then adds to it, doing exactly what it says on the tin. But the clever part of this is upping the apple, orange, and fruit content too. Great. "
87,"Sherry finishing influences, from leather satchel, maraschino cherry, floral blossoms, and deep orange notes to a pinch of Chinese Five Spice and buttered ginger loaf. Medium bodied, with a malt content of 75%, it riffs around an orange theme, at times quite sharp, with pith, some bitter grapefruit, more ginger, and herbal strands. Lively spices flicker across the tongue throughout the long finish as the citrus seeps away."
88,"Wheat, corn, and malted barley are your three grains here. Orange grove before harvest, a rounded candied peel note, plenty of sweet grain, and creamy vanilla, all backed by gentle spice. Luscious and chewy caramel, taffy candy, lavishly rich orange, and glowing spice notes wrap around the tongue. It’s incredible how they can make this tasty blend of five whiskies look so devastatingly easy (when it’s not). Value Pick"
89,"A delicious dram with a sunny disposition, this drums out aromas of butter biscuits, raisins, vanilla sugar, cane honey, and abundant tropical fruit notes of guava and papaya. It’s a light and nimble blend that weaves through white chocolate, biscuit notes, chewy granola bar, apricot, and mandarin. Spices rattle around a fruit core on the finish. Rum powerhouse Bacardi acquired Dewar’s in 1998; they should have done this years ago. Best Values"
90,"The Real McCoy! It's said that during Prohibition Bill McCoy serviced the better speakeasies with proper Cutty Sark; hence the name. If this is a recreation of what they might have been drinking back then, you can see why they kept fighting over it. This is another bold, earthy, smoky blend with oily, industrial notes. There's crabapple, smoke, bitter lemon, grapefruit, and even black currant. It would seem blended whisky is where it's at right now! Great stuff.  "
91,"The divine stone fruit aromas are the key to unlocking the nose on this one: apricot, honey, vanilla icing, malt bins, Quaker Oats Squares, and lofty floral top notes. Sweet mandarin, brown sugar, vanilla fudge, strands of finely shredded peel, and more spice than the 12 year old can muster. The sweet vanilla aftertaste is softer and more elegant than the younger expressions."
92,"Dry peats tossed on a driftwood fire with coastal aromas of sun-scorched seaweed beside high tide rock pools comprise this refined dram. A momentary glimpse of lighter lemon, lime, and pineapple is quickly snuffed out by the full strength assault. It’s like pulling the pin on a grenade. There’s a dense barrage of peat moss, worn leather, and cocoa at the death. Ride through it to glory. Possibly the highest ABV that Compass Box has ever given us. £120"
93,"Here’s one in the eye for people who grumble about high prices for age statement whisky. Sherry aromas, good-quality plain chocolate, clove-studded oranges, coffee beans, and fat sultanas. Thick, gloopy texture with lashings of sherry, mouth-drawing tannins, a pleasant buzz of wood spices, peppery chocolate, and coffee dregs. It emerges from a savory middle section to a burnt orange salvation, followed by a hot, oaky finish. £148"
94,"This radiant, refreshing whisky offers creamy fudge, light vanilla, fresh apple, peach, and biscuit notes on the nose, demonstrating the generosity of the American oak. In the mouth, it’s luscious, balanced, and mouth-coating, with sweet honey, lemon peel, lime zest, and aromatic spices, fattening out briefly before becoming soft as suede, riffing on vanilla, melon, and lemon biscuits. Dry finish with vanilla cream and soft fruits."
95,"Blender Aimée Gibson’s experimental batch 7 is designed as a sherry finished Black Label. Beautifully smoky, with dried fruits, charred oak, wood spices, vanilla, cocoa, and bonfire smoke. Toffee flavors, with thick smoke, red fruits, orange, raisin, oak spice, gingerbread, marshmallow, strawberry jam, and dark marmalade. Dry finish with bitter peels, dark chocolate, and some feisty spices. In comparison, regular Black Label is silkier, more integrated, and more peppery. (Global Travel Retail only)"
96,"On safe territory here, with neroli oil, caramel, roasted spices, surly peat smoke, and just enough fruity sweetness to stay in the good books. Weightier than the 15 year old, with more aged whisky characteristics: bright clementine, dried citrus wheels, and clove, but after an eruption of smoke, it fades to pineapple, fermenting fruits, and a prickly grapefruit acidity. The ashy embers on the finish retreat quickly."
97,"This blend has style. Coils of red apple peel, ripe orange, cherry blossom florals, freshly split oak, and dry, gentle spices, like running a wet finger around an old spice jar. It’s juicy and thick, with festive satsumas, some bright sharpness, and acidic citrus overcome by juicy sweetness, marmalade flavors, and walnut. The refined finish has a tangle of spice, orange peel, honey, and just a whiff of struck match."
98,"Maraschino cherries, red currant, oak bark, and wet slate on the nose after 6 months of finishing. Light, clean opening with cherry and strawberry; a little fig and raisin bring depth. Hints of clove and aniseed dart about, then more oak swells up, though the red fruity sweetness stays in control. A smooth finish of fruit chews, with those spices burning brightly deep in the back of the throat. (769 bottles)"
99,"Alasdair Day is on a mission to build a new Lowland distillery in the Borders of Scotland. While we wait, the next batch from his grandfather’s cellar book is a pale, golden dram with a delectable nose of lemon meringue pie, spring blossoms, peach pit, candy floss, and Valrhona Ivoire white chocolate. This is more-ish whisky: like spooning into panna cotta. Pear syrup, white chocolate, and a sizzle of toasted muffins dissipate into a mild ginger and gooseberry finish. £40"
100,"Named for House Targaryen from Game of Thrones. Aromas of malt, peppercorn, dry chile flakes, spicy nachos, sliced red apples, roasted whole spices, and soft smoke from snuffed candles. On the palate, this has a light, floaty texture with flavors of red apple at its core, followed by a roar of spice, citrus peel, lemon, sharp fruity acidity, vanilla pod, and a touch of walnut. The finish is lengthy and spicy."
101,"Bold spicy nose with dark toffee and dried chili flakes. Explosive pepper notes duel with chocolate as they work through the toffee flavors and begin to show a bitter dark chocolate edge. It’s a gutsy, spirited blend with tongue-searing spices, eventually serving up more sweet notes, but consider adding water or pouring over ice to release more vanilla, fruits, and milk chocolate flavors to take the adventure further."
102,"This rich, smooth, and enticing blend first launched in 1976. It offers aromas of barley, malt, honey, praline cookies, vanilla seed, and smoke. The palate is bright with honey, citrus zest, Quaker Oat Crisp, graham cracker, and vanilla fudge, with gentle pepper, hot cross bun, and orange notes appearing as it becomes creamier. Orange, barley notes, and smoke dance off into the finish."
103,"Cutty Sark lost its way in recent years; expect that to change soon. Its owners have plans to return it to glory (and to include a 30 year old among its expressions — you read it here first). For the time being — if you can find it — this 18 year old is a sublime mix of soft plum and peach, sweet, pure grain, easy-drinking vanilla, and a deft oakiness all delivered in gentle and harmonious fashion. Masterful blending."
104,"Gold-amber color. Toffee, fruit, and a wisp of smoke underpin floral aromas. On the palate, flavors are nicely balanced and harmoniously interwoven. Gently sweet toffee notes up front gradually yield to drier notes on the finish, with soft, delicate fruit flavors throughout."
105,"Take a parcel of Macallan, Glenrothes, and Tamdhu all aged over 40 years, season lightly with gently peated Bunnahabhain and North British grain whisky and what do you get? Golden sultanas, linseed oil, orange blossom honey, butterscotch, drying nuttiness, and cedarwood. Blending has beneficially enhanced the three sherry-casked malts. It’s juicy and sticky, rhubarb and damson jams, oak tannins, and a little burnt note as the power swells. Cocoa, chocolate, and lingering oak to finish. (210 bottles) £350"
106,"The nose unravels with milk chocolate, thick hazelnut spread, and a slender twist of orange peel, though that delectable goodness is evenly balanced with peppermint patties and detectable light, floral top notes. This has a lush softness, with a perceptibly slow crescendo of flavors incorporating caramel toffee, popcorn, and chocolate praline. It’s beautifully integrated with a smooth, dense texture, and releases its grip reluctantly with just a whisper of a peppermint reprise."
107,"Quite rich and chewy, with nutty toffee, vanilla fudge, nougat, chocolate cake, orchard fruit, and black cherry—all on a solid malty foundation. This isn’t one of those elegant, lighter-flavored blends with a high grain whisky content. The focus here is on fullness of flavor. A blend for the malt whisky drinker (but should also appeal to the more open-minded blend drinker, too)."
108,"Malt biscuits, runny caramel, blended black tea, melting butter sliding across a hot skillet, the leather uppers on new Oxfords, and a more enjoyable waft of peat smoke than expected. Clean, light flavors; lime jelly, root ginger, initially not overly sweet, then a boost of honey, caramelized fruits, with toffee and cocoa later still. It’s pricked with hints of smoke throughout, with a long finish of pepper and other spices. Perfectly enjoyable anytime."
109,"This is how to age gracefully. A remarkable, decadent drop released to follow the success of the Golden Age blend, this delivers heather honey, tangerine juice, banana chips, dried apricots, and sanded oak. It’s a whisky of big, expansive flavors. Citrus strands, candied peel, neroli, and dried mango swirl amidst a syrupy mouthfeel, steadily becoming creamier as it squeezes out yet more flavor. Dry, oaky finish with residual fruit, coffee beans, and pleasingly bitter oak tannins that tingle the gums. £600"
110,"A zeitgeist Johnnie Walker fine-tuned for the American palate, this blend has a moreish nose of cinnamon, cocoa, and the toasted coconut of macaroons, mingled with strands of smoke, dried walnut, nutmeg, and an array of spicy rye anchored by a concentrated line of vanilla. Lots of American oak at play here. It’s elegant, dry, and smooth with vanilla, cinnamon, coconut, and flashes of spice. It’s fabulous sipped straight up but keep walking to the finish. Value Pick."
111,"This whisky is slowly making its way around the world, but it was worth the wait, as master blender Colin Scott’s use of mizunara oak makes for an impressively different nose from Chivas Regal 12 year old. Pecans, sandalwood, coriander seed, honeycomb, peanuts, and rich oak aromas herald a warming dram with fabulously developed orange zest and vanilla toffee flavors, before a more assertive finish of dark toffee and tenacious spices."
112,"Heather honey, sultry smoke, sherry, and spice make this the ideal hibernation libation. Help see off the darkest months with these dominant orange notes and a supporting cast of crystalized ginger, cinnamon, and nutmeg. A warming taste of red berries, gingerbread, and Christmas spices gives the underside of the tongue a roasting before melting away, leaving a creamy mouthfeel imbued with strands of subtle smoke, barrel char, and spiced orange."
113,"Blended whiskies have taken a sexy turn for the better, and there have been some excellent attempts to innovate. Indeed, a gap has opened up between main label blends and this sort of thing, which is particularly brave because a world-class brand has let amateurs loose on it. That said, this is massive, with big earthy spice, peat, and sour fruits. There's some youthful sappiness in the mix, too, but it's not detrimental. Brave and impressive.  "
114,"The nose is a little attenuated but shows off tarte au citron, cigar smoke, blood orange, and some gentle spices. The rich, fruity palate has a flawless, immaculate quality with tangy orange, spice, caramel, ground almond, vanilla, and orange sherbet, but what it gains in smoothness it loses in producing a substantial firework moment to really stimulate the palate. A polished blend in search of some perfect imperfections."
115,"A straightforward proposition of honey, vanilla sponge cake, barley notes, hints of apple, fresh banana, melon, and bundles of dry straw. It’s a sweetheart: soft vanilla fudge, heather honey, banana-topped banoffee pie, fudge, vanilla sandwich cookies, barley sugar, and lemon peel, with hardly any spice in the early phase. The finish has a snag of pepper at the end, but this is gorgeously tasty, with smooth vanilla fudge all the way."
116,"A pale blend with hidden depths of flavor and a sweet nose of honeyed pear, vanilla, Golden Delicious apples, taffy, and custard tarts, all overlaid with ashy smoke and drifting smoke trails from snuffed-out candles. Pear, apple, clove, and cracked black pepper meet butter toffee, vanilla, and nippy spices. It’s imbued with a pretty smoky flavor for a peated cask, and leaves a creamy aftertaste to savor. £32"
117,"Matthew Gloag introduced this classic blend in 1896, and now Kirsteen Campbell, master blender of Grouse since 2016, is taking it to new heights. Rich toffee, boundless baked orange notes, wood spices, dried banana chips, and some sweet floral top notes. Very smooth drinking, with citrus flavors, toffee and caramel, vanilla, ground ginger, star anise, and lemon peel. The spiciness abounds into the finish with well-rounded dark orange notes."
118,"Compared to classic Grouse, this has more caramel notes, additional sweetness, and a greater delivery of lemon, vanilla, toasted coconut, and finely shredded orange peel. It’s lightly structured, drier, and comes with less-pronounced spices. Sipping reveals sweet light citrus, smooth caramel, vanilla sponge, apricot, soft fruits, and chocolate macaroon bars, with a late development of spice. Sweet caramel hangs on the lips. This is an easygoing, feel-good whisky."
119,"Peated Glenturret lies at the heart of Smoky Black, but where will the master blender find her smoke when the distillery is sold? Contemporary bottlings are rich, warming, and comfortingly smoky, with chocolate, malt, cocoa, burnt fruitcake, and baking spices. Medium-weighted blend with malt, chocolate, and bourbon biscuits, interwoven with smoke, then cherry, baked apple strudel, and chocolate desserts. Dry smoke, ginger, pepper, and dark chocolate to finish."
120,"Rich aromas of marzipan, black tea, blackberry, cherry, chocolate, brown sugar, and tobacco leaves. The palate is chewy, with oak char, black tea, roasted nuts, semi-sweet chocolate, root beer spices, ginger, red apple, and mint; water brings out cinnamon and pecans. It shows vivaciousness into the finish, with more oak char, mint, black pepper, and chocolate-covered almonds. (2,000 bottles)"
121,"A polished nose of red apple, cinnamon, caramels, and salted almonds makes for an enticing prospect on this showpiece dram. The taste exemplifies smoothness. The indulgent palate comprises dark cooked fruits, coffee, malty cocoa, sticky toffee pudding, fudge, and a fine line of orange. Roll it around the mouth: the integrated aged grains enable these select malts to achieve their full flavor potential. An exceptionally long finish has remnants of that toffee pudding and a well-sucked aniseed ball. Treat yourself."
122,"Need you ask? An unmistakable classic and an exemplar of a blended Scotch whisky, famous around the world. Toffee, swirling caramel, whole almond, and mashed banana amid twisting white smoke. The palate has such poise, balance, and dexterity that it sets the standard for many less accomplished blends to aspire to. Conspicuously iconic, and the closest thing you will find to a complete whisky at this price."
123,"Lighter in character than the 50 year old, batch 4 offers aromas of caramel, artisanal chocolate, red fruits, polished brogues, and a fluttering of Asian spices. It has plenty of personality, with molasses, chocolate treacle cake, date, fig, bramble, and black currant, though those spices return, and then it gets rather woody. A sprightly older blend, but beginning to show its age. (1,428 bottles)"
124,"Sliced apple, fig rolls, hot chocolate powder, baked orange, seasoned oak, and a wisp of light smoke like a red glow from burning newspaper. It has a contented, unperturbed, insouciant character. Cinnamon toffee yields to sweeter notes, with vanilla, dried fruits, and baked peach, and then goes long on nutmeg under drifting smoke. The woodiest of Walkers, this concludes with cinnamon, nutmeg, clove, allspice, and a catch of smoke. (Travel Retail exclusive)"
125,"Beeswax candles, wafers in vanilla ice cream, dried apricots, a strand of garden bonfire smoke, dried-out wedges of honeydew melon, and fruit shortcake cookies. The palate revels in barley sugar, active spices, lime, orange, and grapefruit peel, and it’s beautifully weighted with fudge and vanilla sponge cake. A mouth-clinging finish saturates the taste buds with sweet, honeyed fruits."
126,"Master blender Sandy Hyslop has deliberately attempted to capture Christmas in the glass, and so it should come as no surprise to find a rich, full, and flavorsome whisky with sherry trifle, red berries, orange fruit, and mince pie filling in the mix. It's put together with grace and style, mixes well, and is that rare beast — a blend that can be enjoyed on its own.  "
127,"Rather elegant blend, with aromas of woodworker’s bench, salted cashew, and dried banana chips, all backed by gentle bonfire smoke. Creamy caramel toffee, Victoria sponge, red currant, raspberry, and more oak build into a thick, luscious mouthful. Any smoke drifts away in the initial seconds. Toffee and fruit linger, making a very lengthy finish. A masterful top of the range blend from La Martinquaise. Well worth seeking out. €55"
128,"For starters, this new addition to the lineup has a delicious nose of baked Alaska, cotton candy, vanilla, and creamy fudge, along with well-developed notes of toasted oak from the virgin casks. A smooth blend of caramel, banana, peach, green fruits, and hazelnut. It grows increasingly tangy in the mouth, before softening to leave lively peppery spices and toffee to conclude this affordable everyday sipper. (Global Travel Retail)"
129,"Pronounced “Te Veg,” this has its roots in the Isle of Skye, and as there’s only one distillery there it’s highly likely that the odd
drop of Talisker has found its way into the mix. Whether it has or not, this is stirring stuff, non-chill filtered so that the flavors burst forth. As you might expect, it’s rugged with brine and chili, giving it a distinctive spice edge. But the delivery is a caramel fudge delight, with luxury chocolate praline in there too."
130,"Aromas of oloroso sherry, strawberry, almond paste, clove, licorice Allsorts, black treacle, and smoke from burning haystacks. Honeyed palate with citrus elements, light lemon, green melon, pear, redcurrant, and pineapple, brightened by some well-rounded spices and root ginger. It glides into a mouthful of chocolate-coated digestive biscuits with a little smoke, then a finish of citrus oils, fruit skins, and active spices. Brilliant and satisfying."
131,"The style and class of the youngest was inspired by the classic elegance of Paris in the 1920s. Comprising Kininvie and Girvan married in tuns of Portuguese oak, this is pure, creamy goodness bathing in lemon meringue pie, vanilla tablet, and fresh oak shavings. A buttery-soft texture, the back of the palate kicks off with honey explosions, nougat, and toffee, backed with a distinct oakiness to remind you that it’s got much more to offer than just vanilla playfulness. £50 Travel Retail exclusive"
132,"I’m reminded of leafy ferns in spring, sweet melon, green bananas, fresh cream, and a dusting of spice when I nose this blend. A light, green fruit taste of white grape and melon overlaid with runny toffee and banana, before the impression of thick fruit skins, becoming slightly tannic. Light spices and pepper follow with a finish of apple core and rich spice. (760 bottles)"
133,"When in doubt, the answer to any question is usually ‘more whisky.’ Here, peat smoke takes an upper hand over the sweet aromas of juicy orange and pear. The whisky begins icing-sugar sweet, settles to bubble gum, pear, apple, and malt, showing its impeccably balanced, finely textured character replete with strands of oak spices, gentle smoke, baked pastry, and vanilla custard. You can’t go wrong at this price."
134,"Chillingly good bottle for winter, this Game of Thrones tie-in sees a rakish striding man donning body armor, gripping an ice blade, and nodding a frosty greeting through glowing blue eyes. Room temperature aromas speak of toffee, lime zest, menthol, waxy foliage, and pronounced grain notes. Straight from the freezer, there are cornflakes, beeswax, caramel, vanilla, sharp citrus, sugared apple, and a hint of nutmeg. Deliciously tasty dram for your night’s watch. Best Value"
135,"Gold color. Floral aromas balanced with a gentle vanilla sweetness, and soft fruit. Soft, rounded body. The palate delivers what the aroma promises in a very clean and balanced way. Pleasing finish. 
"
136,"Sherbet, creamy vanilla, whole lemon, fresh baked goods, sweet grain notes, strong floral blooms, with hints of snuff and ground pepper on the nose. Light, delicate palate of lemon flesh; the citrus sharpens up, with grapefruit flavors supported by fine ground pepper and a lasting wave of vanilla. A pleasing tingle of spices on the finish, coupled with punchy citrus notes. A nimble, vigorous blend that offers a multitude of serves. Best Values"
137,"I was surprised to find that Grant’s blends were noticeable by their absence in the U.S. But with the purchase of Tuthilltown in New York and Tullamore Dew in Ireland, that is slowly changing; and here's proof. Beautiful, honeyed, rich, but the 40% ABV makes it the whisky equivalent of a radio DJ cutting off “Freebird” before the solo at the end. Still great, and indeed better than most competition, but not the classic it could be."
138,"Baked almond desserts liberally splashed with cream, light caramel, malted milk, and an invading cloud of smoke from newly ignited twigs: a lucky strike from a forest survivalist. On the palate, it is soft and blushing, with marmalade and warm butter, ground ginger, moving to chocolate orange, toffee, and Ovaltine. A whirl of spices and chunky chocolate round off this blend’s finish stylishly. This has all the hallmarks of a perfect nightcap."
139,"A futuristic bottle design released for Ridley Scott’s replicant sequel set in 2049, hence the punchy bottling strength. Peat smoke, toffee caramels, fresh banana, and sliced red apple. Promising layers of fruit salad, grape, apple, citrus, and apricot are swept aside by an aggressive peppery attack, emerging to notes of bitter fruit, burnt rubber, and smoke. If this is a glimpse of the future, I’m stockpiling regular Black Label now. (39,000 bottles)"
140,"Was the short finish in Château La Louvière casks from Bordeaux’s Pessac-Léognan appellation sufficient to impact this peaty whisky? A gorgeous color with a nose of sooty, charcoal intensity, hints of chocolate, vanilla pod, clove, and peppercorn. Flavors of cherry, rhubarb, orange peel, and plums, speckled with aniseed, pepper, clove, and licorice indicate cask influence. Suggestions of menthol and peppermint, before a smoky finish with licorice and bitter chocolate. (20,000 bottles)"
141,"Up close, this displays more sherry and dried fruits, particularly raisins, currants, and sultanas, with a deep strawberry note and dollop of marmalade. Quite pungent, and that resonates rewardingly at the back of the throat. The juicy mandarin flavor has some tartness, but then there’s cake mix, gingersnaps, clove, and toasted spices, though it gravitates back to the marmalade. The finish has dry, bitter orange, ginger, and spice, with a hint of lime zest. Confident and characterful."
142,"A ripe proposition, the fruit and the smoke locked tightly together like interwoven fingers. Peaches, melon, baked apple, fresh mango, and sugar strands with a supporting role of red berries. With a malt content exceeding two-thirds, the full-bodied palate is sweet as brown sugar, with mandarin tartness, apple, and red licorice meandering to a vinous finish of red berry fruit. With its cheeky Glasgow landmark on the label, this permanent addition to the GKS range is pure gallus."
143,"A smashing, rich sherry nose showcases rosehip, elderberry, scorched oak, pipe tobacco, roasted coriander seeds, and damp dunnage warehouses. The core of the flavor is the lush orange jelly hidden in McVitie’s Jaffa cakes, combined with clove, malt, treacle, dried mango, and ginger. Water draws out stronger performances from the malty notes, together with some red berry characteristics. Let it roll around the mouth, it’s terrific stuff (Batch 1, 148 bottles). £57"
144,"Arguably the most successful of the Famous Grouse extensions (well, the competition includes Snow Grouse, for Pete's sake!), the Black Grouse brought ever-popular peat into the mix, a move that was followed by a peatier version of Johnnie Walker Black Label. The label says this is richer and peatier, and it is. But this scores most for a chicory/coffee and liquid licorice undercarpet that makes it very palatable indeed. Neat over ice. (Travel Retail exclusive)€33"
145,"This Glenkinchie malt and Cameronbridge grain blend highlights the vanilla character of Black Label with a nose of green apple, dry grasses, vanilla toffee, peach pit, and banana custard, with subtle hints of oak and spice. The mouthfeel is light with green apple and candied lemon, growing fruitier with boiled candies and a hint of creaminess, all held in check by the spice. Grassy finish with a hefty backdraft of spice."
146,"If you like sherried malts, you’ll love this! Bottled at a respectable strength too. Red apple, cherry skins, strawberry, raspberry, Eccles cake, malt loaf, and warming spices; there’s a lot to get your nose into here. A finely structured dram, with soft leather, rhubarb, Bramley apple, cherryade, fresh Victoria plum, pepper, and muted ginger deliver sustained flavors. A long, spicy, and peeled fruit finish. Given the distillery closures in 1983, there could be some interesting components in here. (464 bottles)"
147,"Thick orange peels, grapefruit, lime zest, and Starburst taffy candies keep the nose of this premium expression within the purview of the Black Bull character. Layers of vanilla custard, mellow fruit, and ginger snaps quench an initial rush of sharp citrus. Sponge cake creaminess abounds though the spices nibble at the edges, leaving a long, sweet, citrus finish. Water nips the more acidic elements while leaving the citrus flavors intact."
148,"Just eight whiskies in the blend, married and finished in first fill Spanish sherry and bourbon casks. An insistent nose, crackling with spices, with toasted Eccles cake anointed with grated nutmeg, vanilla extract, cassia, and dark soy sauce. Light honey and vanilla, tangerine oils, and lime peel exhibit perfectly-paced development, with flavor building over a minute or more. Warming ginger, spices, and tropical fruits of guava and papaya close out this first annual special edition. Impressive work."
149,"If you like warm chocolate ganache sprinkled with cocoa beans, dark waffle cones, praline, and brisket bark, then this is for you. A brief flicker of chocolate, smoke, cherry, peppery spices, and chili flakes move aside for a smooth medley of dark fruit juiciness and sweetened char notes. The strident call of chocolate on nosing goes unreciprocated on the palate. A long, satisfying, deep finish of pounding spices. A worthy successor to the first batch. (417 bottles) £123"
150,"Refill bourbon, American oak, and virgin oak are the woods in question. Technically, they are all American oak, just at different flavor-giving stages of their productive lives. Honey, fresh apricot, floral, and supple barley notes, candied orange, star anise, dried chili, and a touch of aniseed. Exceptionally smooth with caramel, date, red fruits, chocolate, and pecan pie, finishing with wood char and spice. One wood three ways, I grant you. Previously labeled as Grant’s Family Reserve"
151,"I am hopeful this blended whisky has benefited from the alligator char treatment to contribute to the deep, rich color and charred smoke notes on the nose. A thick, velvety mouthfeel, with butter toffee, toasted marshmallows going gooey on a stick, great spices, vanilla, whole nutmeg, chicory, and the crust of a well-fired fruit loaf leaving some sooty cinders on the finish. A mighty fireside companion and my favorite Grand Macnish to date."
152,"This is a special bottling for London department store Selfridge's, but it represents a clever strategy by artisan Compass Box to set its own agenda by regionalizing its whiskies. This is a long way from the New York blend—indeed, creamier and sweeter than other recent releases. It has a honey heart, traces of cinnamon, and menthol in the mix, plus wispy smoke. There's some spice and peat late on, but in relatively subdued form. Very pleasant. £85"
153,"Blender Aimée Gibson set out to make a sundowner scotch by incorporating whiskies matured in wine casks. The blueberry, blackcurrant, and fresh oak aromas continue on to the palate: fruit compote, raspberry, strawberry, and lingonberry with light spices. A late resurgence of dark toffee, chocolate, and cigar smoke blow into the finish. Sip away by all means, but this fruity sensation calls to be served up in long, cool drinks."
154,"Hankey Bannister includes some stunning aged whiskies in its range, but given the trend toward unaged scotch releases, I was a bit suspicious of this. It lacks depth but nevertheless is a butterfly in a breeze of a whisky; gossamer light, both tantalizing and elusive. It’s liquid honey, with sweet lime and pear, some cocoa, and to give it a modicum of depth, it’s underpinned
by a light saltiness."
155,"Lord Elcho was an 18th century ancestor of William Wemyss, who fought on Bonnie Prince Charlie’s side at the Battle of Culloden in 1745. With a minimum of 40% malt, this fine blend has a rather perfumed nose of fresh mint, green apple, sliced melon, and tropical fruits. The soft candy sugar and butterscotch palate builds, with layers of malt, cherry laces, gingerbread, and pfeffernüsse leading to a ginger and spice finish of significant length. Highly accomplished. £26"
156,"A charmingly sweet nose with Christmas cake, swollen raisin, dates, sticky toffee pudding, walnut, nutmeg, and gentle spices confirm the presence of the oloroso cask at work. An oily texture, with butterscotch, tangy peel, and mandarin, becoming darker and nutty, with sultana and plum skin shading into menthol and streaks of bitterness. Finally, Brazil nut, macadamia, and clove, with a hot, dry, nutty finish. (771 bottles)"
